lyrics,year,title,artist_x,weeks,rank,broad_genre,artist_y,Mood
"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, yeah.  I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree  I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You, baby  Oh, I won't ask for much this Christmas I won't even wish for snow And I'm just gonna keep on waiting Underneath the mistletoe  I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click  'Cause I just want you here tonight Holding on to me so tight What more can I do? Baby, all I want for Christmas is you You, baby  Oh, all the lights are shining so brightly everywhere And the sound of children's laughter fills the air  And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one I really need? Won't you please bring my baby to me?  Oh, I don't want a lot for Christmas This is all I'm asking for I just wanna see my baby Standing right outside my door  Oh, I just want you for my own More than you could ever know Make my wish come true Baby, all I want for Christmas is you You, baby  All I want for Christmas is you, baby",2017.0,All I Want For Christmas Is You,mariah carey,24.0,13.0,r&b,Vince Vance & The Valiants,relaxed
"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, yeah.  I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree  I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You, baby  Oh, I won't ask for much this Christmas I won't even wish for snow And I'm just gonna keep on waiting Underneath the mistletoe  I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click  'Cause I just want you here tonight Holding on to me so tight What more can I do? Baby, all I want for Christmas is you You, baby  Oh, all the lights are shining so brightly everywhere And the sound of children's laughter fills the air  And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one I really need? Won't you please bring my baby to me?  Oh, I don't want a lot for Christmas This is all I'm asking for I just wanna see my baby Standing right outside my door  Oh, I just want you for my own More than you could ever know Make my wish come true Baby, all I want for Christmas is you You, baby  All I want for Christmas is you, baby",2017.0,All I Want For Christmas Is You,mariah carey,21.0,11.0,r&b,Vince Vance & The Valiants,relaxed
"I don't want a lot for Christmas There is just one thing I need I don't care about those presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true You know that all I want for Christmas Is you...  I won't ask for much this Christmas I won't even wish for snow No, I'm just gonna keep on waiting Underneath the mistletoe There's no sense in hanging stockings There upon the fireplace 'Cause Santa, he won't make me happy With a toy on Christmas Day I just want you here tonight Holding on to me so tight Girl, what can I do?  You know that all I want for Christmas  Is you...  And all the lights are shining So brightly everywhere And the sound of children's Laughter fills the air  And everyone is singing I can hear those sleigh bells ringin'  Santa won't you bring me the one I really love Won't you please bring my baby to me...  I don't want a lot for Christmas This is all I'm asking for No, I just wanna see my baby Standing right outside my door Oh, I just want you for my own More that you could ever know Make my wish come true You know that all I want for Christmas Is you... Is you...",2011.0,All I Want For Christmas Is You,michael buble,1.0,99.0,pop,Vince Vance & The Valiants,relaxed
"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, yeah.  I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree  I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You, baby  Oh, I won't ask for much this Christmas I won't even wish for snow And I'm just gonna keep on waiting Underneath the mistletoe  I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click  'Cause I just want you here tonight Holding on to me so tight What more can I do? Baby, all I want for Christmas is you You, baby  Oh, all the lights are shining so brightly everywhere And the sound of children's laughter fills the air  And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one I really need? Won't you please bring my baby to me?  Oh, I don't want a lot for Christmas This is all I'm asking for I just wanna see my baby Standing right outside my door  Oh, I just want you for my own More than you could ever know Make my wish come true Baby, all I want for Christmas is you You, baby  All I want for Christmas is you, baby",2000.0,All I Want For Christmas Is You,mariah carey,1.0,83.0,r&b,Vince Vance & The Valiants,relaxed
"Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home, Someone take me  Look, I didn't power through the struggle Just to let a little trouble, knock me out of my position And interrupt the vision After everything I witnessed, after all of these decisions All these miles, feets, inches They can't add up to the distance That I have been through, just to get to A place where even if there's no closure, I'm still safe I still ache from trying to keep pace Somebody give me a sign, I'm starting to lose faith.  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home(It's been a long time coming) Someone take me Hooooome, ho-o-o-o-me Hooome, hooome Someone take me Hooooome, ho-o-o-o-me Hoooome, hooome  Look, I been through so much pain And it's hard to maintain, any smile on my face 'Cause there's madness on my brain So I gotta make it back, but my home ain't on the map Gotta follow what I'm feeling to discover where it's at I need the (memory) In case this fate is forever, just to be sure these last days are better And if I have any (enemies) To give me the strength to look the devil in the face and make it home safe  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Someone take me  I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone  Someone take me Hoooome, ho-o-o-o-me Take me home Hoooome, hooome (take me home) Someone take me Hoooome, ho-o-o-o-me (someone, someone) Nothing here feels like home(Hoooome, hooome) (Take me home) Someone take me",2017.0,Home,"machine gun kelly,",3.0,95.0,rap,Glasser,relaxed
"Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home, Someone take me  Look, I didn't power through the struggle Just to let a little trouble, knock me out of my position And interrupt the vision After everything I witnessed, after all of these decisions All these miles, feets, inches They can't add up to the distance That I have been through, just to get to A place where even if there's no closure, I'm still safe I still ache from trying to keep pace Somebody give me a sign, I'm starting to lose faith.  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home(It's been a long time coming) Someone take me Hooooome, ho-o-o-o-me Hooome, hooome Someone take me Hooooome, ho-o-o-o-me Hoooome, hooome  Look, I been through so much pain And it's hard to maintain, any smile on my face 'Cause there's madness on my brain So I gotta make it back, but my home ain't on the map Gotta follow what I'm feeling to discover where it's at I need the (memory) In case this fate is forever, just to be sure these last days are better And if I have any (enemies) To give me the strength to look the devil in the face and make it home safe  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Someone take me  I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone  Someone take me Hoooome, ho-o-o-o-me Take me home Hoooome, hooome (take me home) Someone take me Hoooome, ho-o-o-o-me (someone, someone) Nothing here feels like home(Hoooome, hooome) (Take me home) Someone take me",2017.0,Home,"machine gun kelly,",3.0,95.0,rap,Blake Shelton,relaxed
"Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home, Someone take me  Look, I didn't power through the struggle Just to let a little trouble, knock me out of my position And interrupt the vision After everything I witnessed, after all of these decisions All these miles, feets, inches They can't add up to the distance That I have been through, just to get to A place where even if there's no closure, I'm still safe I still ache from trying to keep pace Somebody give me a sign, I'm starting to lose faith.  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home(It's been a long time coming) Someone take me Hooooome, ho-o-o-o-me Hooome, hooome Someone take me Hooooome, ho-o-o-o-me Hoooome, hooome  Look, I been through so much pain And it's hard to maintain, any smile on my face 'Cause there's madness on my brain So I gotta make it back, but my home ain't on the map Gotta follow what I'm feeling to discover where it's at I need the (memory) In case this fate is forever, just to be sure these last days are better And if I have any (enemies) To give me the strength to look the devil in the face and make it home safe  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Someone take me  I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone  Someone take me Hoooome, ho-o-o-o-me Take me home Hoooome, hooome (take me home) Someone take me Hoooome, ho-o-o-o-me (someone, someone) Nothing here feels like home(Hoooome, hooome) (Take me home) Someone take me",2017.0,Home,"machine gun kelly,",3.0,95.0,rap,Michael Buble,relaxed
"Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home, Someone take me  Look, I didn't power through the struggle Just to let a little trouble, knock me out of my position And interrupt the vision After everything I witnessed, after all of these decisions All these miles, feets, inches They can't add up to the distance That I have been through, just to get to A place where even if there's no closure, I'm still safe I still ache from trying to keep pace Somebody give me a sign, I'm starting to lose faith.  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home(It's been a long time coming) Someone take me Hooooome, ho-o-o-o-me Hooome, hooome Someone take me Hooooome, ho-o-o-o-me Hoooome, hooome  Look, I been through so much pain And it's hard to maintain, any smile on my face 'Cause there's madness on my brain So I gotta make it back, but my home ain't on the map Gotta follow what I'm feeling to discover where it's at I need the (memory) In case this fate is forever, just to be sure these last days are better And if I have any (enemies) To give me the strength to look the devil in the face and make it home safe  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Someone take me  I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone  Someone take me Hoooome, ho-o-o-o-me Take me home Hoooome, hooome (take me home) Someone take me Hoooome, ho-o-o-o-me (someone, someone) Nothing here feels like home(Hoooome, hooome) (Take me home) Someone take me",2017.0,Home,"machine gun kelly,",3.0,95.0,rap,Three Days Grace,relaxed
"Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home, Someone take me  Look, I didn't power through the struggle Just to let a little trouble, knock me out of my position And interrupt the vision After everything I witnessed, after all of these decisions All these miles, feets, inches They can't add up to the distance That I have been through, just to get to A place where even if there's no closure, I'm still safe I still ache from trying to keep pace Somebody give me a sign, I'm starting to lose faith.  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home(It's been a long time coming) Someone take me Hooooome, ho-o-o-o-me Hooome, hooome Someone take me Hooooome, ho-o-o-o-me Hoooome, hooome  Look, I been through so much pain And it's hard to maintain, any smile on my face 'Cause there's madness on my brain So I gotta make it back, but my home ain't on the map Gotta follow what I'm feeling to discover where it's at I need the (memory) In case this fate is forever, just to be sure these last days are better And if I have any (enemies) To give me the strength to look the devil in the face and make it home safe  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Someone take me  I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone  Someone take me Hoooome, ho-o-o-o-me Take me home Hoooome, hooome (take me home) Someone take me Hoooome, ho-o-o-o-me (someone, someone) Nothing here feels like home(Hoooome, hooome) (Take me home) Someone take me",2017.0,Home,"machine gun kelly,",3.0,95.0,rap,Staind,angry
"Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home, Someone take me  Look, I didn't power through the struggle Just to let a little trouble, knock me out of my position And interrupt the vision After everything I witnessed, after all of these decisions All these miles, feets, inches They can't add up to the distance That I have been through, just to get to A place where even if there's no closure, I'm still safe I still ache from trying to keep pace Somebody give me a sign, I'm starting to lose faith.  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Home A place where I can go To take this off my shoulders Someone take me home(It's been a long time coming) Someone take me Hooooome, ho-o-o-o-me Hooome, hooome Someone take me Hooooome, ho-o-o-o-me Hoooome, hooome  Look, I been through so much pain And it's hard to maintain, any smile on my face 'Cause there's madness on my brain So I gotta make it back, but my home ain't on the map Gotta follow what I'm feeling to discover where it's at I need the (memory) In case this fate is forever, just to be sure these last days are better And if I have any (enemies) To give me the strength to look the devil in the face and make it home safe  Now tell me: how did all my dreams turn to nightmares? How did I lose it when I was right there? Now I'm so far that it feels like it's all gone to pieces Tell me why the world never fights fair I'm trying to find  Home A place where I can go To take this off my shoulders Someone take me home Someone take me  I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone I found no cure for the loneliness I found no cure for the sickness Nothing here feels like home Crowded streets, but I'm all alone  Someone take me Hoooome, ho-o-o-o-me Take me home Hoooome, hooome (take me home) Someone take me Hoooome, ho-o-o-o-me (someone, someone) Nothing here feels like home(Hoooome, hooome) (Take me home) Someone take me",2017.0,Home,"machine gun kelly,",3.0,95.0,rap,Edward Sharpe & The Magnetic Zeros,relaxed
